Date,Platform,Campaign_Name,Impressions,Clicks,CTR (%),Likes,Comments,Shares,Cost ($),Revenue ($),Engagement Rate (%),ROI (%)
2024-01-04,Instagram,New Arrivals,19711,1422,7.214245852569631,506,45,30,1929.0589553240432,4340.606563636408,2.9475927147278167,125.01160742945119
2024-01-04,Instagram,Holiday Promo,1190,81,6.80672268907563,42,2,1,1135.762461793783,2716.1340360004738,3.7815126050420167,139.14631160733276
2024-01-04,Instagram,Back to School,1569,116,7.393244104525174,113,13,7,457.39149934995237,887.7712765265211,8.476736775015933,94.09439786008859
2024-01-04,Instagram,Black Friday,19070,1011,5.301520713162035,648,129,16,1704.906100103115,1759.9000004280235,4.158363922391191,3.2256263451448968
2024-01-04,Instagram,Spring Collection,13533,1249,9.229291361856204,1072,169,25,1629.7211196244025,3706.023214413401,9.354910219463534,127.40229415861768
2024-01-05,Facebook,Summer Sale,9716,877,9.026348291477975,515,6,35,1606.6755989852115,3060.6184984501215,5.722519555372582,90.49386823222008
2024-01-05,Facebook,New Arrivals,7655,449,5.865447419986937,151,11,2,709.0905558604949,1020.0203966090083,2.1423905943827566,43.84910194879048
2024-01-05,Facebook,Holiday Promo,14121,776,5.495361518306069,60,8,1,1108.1570376797745,1426.3312288674258,0.4886339494370087,28.712012861808354
2024-01-05,Facebook,Back to School,10907,731,6.702117905931971,63,10,3,686.9699215022797,1516.401814930245,0.6968002200421748,120.73773064389006
2024-01-05,Facebook,Black Friday,4051,157,3.875586274993829,14,2,1,1691.9449962733636,1912.652551036913,0.41964946926684765,13.044605779128432
2024-01-05,Facebook,Spring Collection,5142,404,7.856865033061065,320,39,15,1952.9115549519424,3276.4204012008527,7.2734344612991055,67.77105921120321
2024-01-05,Instagram,Summer Sale,19077,1732,9.078995649211091,666,119,62,895.365438282447,1848.815464780504,4.4399014520102735,106.4872493098496
2024-01-05,Instagram,New Arrivals,9308,879,9.443489471422433,800,126,8,1392.5748064924644,1251.8260347012333,10.034379028792436,-10.107088763564583
2024-01-05,Instagram,Holiday Promo,17896,851,4.755252570406795,105,21,8,1337.384884599576,1706.3528238660117,0.7487706750111757,27.58876248081028
2024-01-05,Instagram,Back to School,4343,238,5.480082892010131,201,4,2,533.075429527257,749.0528341941878,4.766290582546627,40.51535537071447
2024-01-05,Instagram,Black Friday,14284,1159,8.113973676841221,706,28,68,233.60612712369223,310.55659883979683,5.614673760851302,32.94026259652002
2024-01-05,Instagram,Spring Collection,14245,1061,7.448227448227448,462,75,15,240.7766132694529,393.849619863782,3.875043875043875,63.57469876986151
2024-01-06,Facebook,Summer Sale,5452,72,1.3206162876008805,67,9,5,1288.4326191919054,1129.9770741033592,1.4856933235509904,-12.298318338752415
2024-01-06,Facebook,New Arrivals,8390,811,9.66626936829559,668,95,0,1101.786024380122,2162.517747422972,9.094159713945173,96.27384079768399
2024-01-06,Facebook,Holiday Promo,6878,307,4.463506833381797,169,26,11,806.9313561027177,1527.997123485576,2.9950567025298054,89.35899713520003
2024-01-06,Facebook,Back to School,5000,494,9.879999999999999,188,36,11,802.9001437115098,1954.2781860774332,4.7,143.40239585006543
2024-01-06,Facebook,Black Friday,4913,92,1.8725829432118868,53,1,4,234.16377347406038,459.2212725108266,1.1805414207205374,96.11115148078065
2024-01-06,Facebook,Spring Collection,17281,1019,5.896649499450263,611,33,50,599.6168108081299,600.1445976964269,4.015971297957295,0.0880206956815746
2024-01-06,Instagram,Summer Sale,6745,542,8.035581912527798,84,3,8,1616.7878142504546,2068.6133536224243,1.4084507042253522,27.945877337122106
2024-01-06,Instagram,New Arrivals,12657,506,3.9977877854151855,417,63,34,1981.485026901313,2975.100794200202,4.060993916409892,50.145005074942496
2024-01-06,Instagram,Holiday Promo,6073,145,2.387617322575333,46,0,4,1492.8220828723804,1798.852788018162,0.8233163181294254,20.500145908676505
2024-01-06,Instagram,Back to School,14584,111,0.7611080636313768,93,15,8,674.0967220096929,1565.5151413895587,0.7953922106417993,132.23894884435413
2024-01-06,Instagram,Black Friday,15512,445,2.868746776689015,242,18,11,742.0651214023052,1800.666657586479,1.7470345538937597,142.65615047149757
2024-01-06,Instagram,Spring Collection,6486,193,2.9756398396546406,126,4,2,1224.759805507182,2132.668356995365,2.0351526364477337,74.12951889878615
2024-01-07,Facebook,Summer Sale,8651,614,7.097445382036758,160,15,6,227.8519009449462,373.7943514528036,2.0922436712518784,64.05145179943885
2024-01-07,Facebook,New Arrivals,12174,447,3.671759487432233,232,4,2,1781.0231563786845,2487.2977226724347,1.9549860358140299,39.655552133853384
2024-01-07,Facebook,Holiday Promo,7801,637,8.165619792334317,18,1,1,1255.5252234667091,1220.2556986856177,0.25637738751442124,-2.8091450591256533
2024-01-07,Facebook,Back to School,2542,223,8.772619984264358,150,7,9,823.4706238107912,1907.3430355856913,6.530291109362707,131.62247449205202
2024-01-07,Facebook,Black Friday,18924,78,0.4121750158528852,46,5,2,1183.5455635922256,2683.494857265362,0.28006763897696046,126.73354873813068
2024-01-07,Facebook,Spring Collection,18749,549,2.928156168328978,520,70,24,1204.1830407015045,1680.2821170364502,3.27484132487066,39.537101939053315
2024-01-07,Instagram,Summer Sale,2810,238,8.469750889679716,117,21,6,877.2329180316037,2053.4289678378545,5.124555160142349,134.0802454661051
2024-01-07,Instagram,New Arrivals,16485,1524,9.244767970882622,182,12,17,963.8882518885463,863.3697136641977,1.2799514710342736,-10.428443134087654
2024-01-07,Instagram,Holiday Promo,14116,944,6.687446868801359,370,38,0,1378.0268828389726,1658.8150201628966,2.8903372060073673,20.37610011971988
2024-01-07,Instagram,Back to School,1504,112,7.446808510638298,34,0,1,900.8548716327841,1949.076739070888,2.327127659574468,116.3585723345448
2024-01-07,Instagram,Black Friday,13972,721,5.160320641282565,182,20,15,1079.0171627182847,2684.638027053866,1.5531062124248496,148.804015340281
2024-01-07,Instagram,Spring Collection,14843,1475,9.93734420265445,56,8,0,1406.7099435200034,2212.360595245897,0.431179680657549,57.271981010521465
2024-01-08,Facebook,Summer Sale,10588,615,5.808462410275784,268,15,22,138.62044166584286,177.10666376897646,2.8806195693237626,27.763742230679174
2024-01-08,Facebook,New Arrivals,11975,833,6.95615866388309,367,23,27,704.5371263540783,766.8575472973131,3.4822546972860127,8.845583662246142
2024-01-08,Facebook,Holiday Promo,4719,235,4.9798686162322525,69,1,3,201.58254208172045,495.18170361035374,1.5469379105742742,145.64711730324834
2024-01-08,Facebook,Back to School,7042,551,7.8244816813405285,154,8,0,851.8531057007632,1554.401235605497,2.300482817381426,82.47291994396076
2024-01-08,Facebook,Black Friday,18308,958,5.23268516495521,567,34,5,1902.1098309192519,3868.3648241075575,3.3100284028839857,103.37231642602119
2024-01-08,Facebook,Spring Collection,19222,499,2.5959837685984812,19,3,1,1738.8245845257964,1524.7261375629837,0.1196545624804911,-12.312826081947795
2024-01-08,Instagram,Summer Sale,2015,82,4.069478908188586,74,1,7,1971.3077987977335,2839.582637272656,4.069478908188586,44.045624889449954
2024-01-08,Instagram,New Arrivals,5158,266,5.1570376114773175,95,16,0,963.9516616001921,1450.9334418025007,2.1519968980224893,50.519315397403076
2024-01-08,Instagram,Holiday Promo,1384,70,5.057803468208093,57,6,5,1398.8430744793784,2389.7676561214926,4.913294797687861,70.83886675500871
2024-01-08,Instagram,Back to School,10860,820,7.550644567219153,446,22,36,1465.9356459401038,3059.463462358953,4.640883977900553,108.7038043472175
2024-01-08,Instagram,Black Friday,14456,1158,8.010514665190923,1111,200,109,540.3127570480069,684.6000666281033,9.822910902047592,26.704405494404494
2024-01-08,Instagram,Spring Collection,5544,418,7.5396825396825395,297,33,27,573.9113399493493,480.7735995020493,6.4393939393939394,-16.228593854848715
2024-01-09,Facebook,Summer Sale,17633,723,4.100266545681393,447,2,11,1641.9521836654715,4015.485031353548,2.6087449668235694,144.55554012476995
2024-01-09,Facebook,New Arrivals,5858,450,7.681802663024922,121,14,6,1522.517648563557,2823.548926014772,2.406964834414476,85.45262373008899
2024-01-09,Facebook,Holiday Promo,5673,124,2.185792349726776,60,6,5,1253.6642385897194,3092.5221855932887,1.2515423937951702,146.67866326570422
2024-01-09,Facebook,Back to School,10521,147,1.3972055888223553,91,14,2,1813.1094542628093,2523.9105389999627,1.0170135918638914,39.20342939396107
2024-01-09,Facebook,Black Friday,10550,591,5.601895734597156,115,18,0,1901.5652161324022,1996.6908593412122,1.2606635071090047,5.00249175793646
2024-01-09,Facebook,Spring Collection,5164,83,1.6072811773818745,15,0,1,691.065640060641,1296.9791756141992,0.3098373353989156,87.67814523384338
2024-01-09,Instagram,Summer Sale,13015,160,1.2293507491356128,89,10,5,1410.451768709017,1560.1209596790634,0.7990779869381484,10.611436299380749
2024-01-09,Instagram,New Arrivals,10911,330,3.024470717624416,204,31,2,1054.7103069852112,2588.562421443737,2.1721198790211713,145.4287593759177
2024-01-09,Instagram,Holiday Promo,12314,1078,8.754263439987007,613,41,60,112.019128896072,194.10854173075722,5.798278382329056,73.28160256525948
2024-01-09,Instagram,Back to School,7376,573,7.768438177874186,355,45,33,301.0593766843056,409.7927426730562,5.870390455531453,36.116917262726425
2024-01-09,Instagram,Black Friday,17282,1146,6.631176947112603,803,46,55,1753.4783170082155,4147.823291615099,5.230876056012035,136.54830809040826
2024-01-09,Instagram,Spring Collection,5432,75,1.3807069219440353,45,0,0,1214.6922603980895,3008.3516657113864,0.8284241531664213,147.66368929735862
2024-01-10,Facebook,Summer Sale,1302,105,8.064516129032258,95,13,9,1531.913047428292,2609.0804362212393,8.986175115207374,70.31517817550078
2024-01-10,Facebook,New Arrivals,16745,414,2.4723798148701106,163,13,6,1389.9727355364957,3107.35235838523,1.0868916094356524,123.55491434771689
2024-01-10,Facebook,Holiday Promo,6870,557,8.107714701601164,283,37,2,824.4694733829608,806.5600037651144,4.687045123726347,-2.1722416894782444
2024-01-10,Facebook,Back to School,6750,534,7.9111111111111105,37,1,2,678.0543728871977,786.1780161396509,0.5925925925925926,15.946161189412589
2024-01-10,Facebook,Black Friday,17509,861,4.917471014906619,546,16,12,1207.5052844303948,2360.0376139053587,3.278314009937746,95.44739425456322
2024-01-10,Facebook,Spring Collection,9258,282,3.04601425793908,118,17,3,1097.3577565461683,1972.6431148616778,1.4906027219701878,79.76299006354947
2024-01-10,Instagram,Summer Sale,8943,418,4.674046740467404,245,18,9,603.3630163075127,855.1101432350061,3.0414849603041487,41.72399038776797
2024-01-10,Instagram,New Arrivals,16679,1516,9.089273937286409,324,32,21,489.39895553943006,695.4880825426201,2.260327357755261,42.11065934458983
2024-01-10,Instagram,Holiday Promo,7767,565,7.2743659070426165,359,61,29,388.0785108247719,902.0889725917019,5.780867773915283,132.45012218649225
2024-01-10,Instagram,Back to School,14046,948,6.749252456215292,252,30,7,1409.074851614522,3516.112962240029,2.0575252740993877,149.53344091062706
2024-01-10,Instagram,Black Friday,17389,1395,8.022312956466731,477,91,10,1737.7388954932615,3803.9495771812576,3.3239404221059288,118.90225206137754
2024-01-10,Instagram,Spring Collection,14917,553,3.707179727827311,450,65,14,1093.3216274875756,1760.524565121602,3.5462894683917683,61.02531230149003
2024-01-11,Facebook,Summer Sale,7469,459,6.145400990761816,127,3,2,439.0385083097235,900.7402776207516,1.7673048600883652,105.16202122874301
2024-01-11,Facebook,New Arrivals,7283,608,8.348208155979679,10,1,1,612.8295788184987,1095.8036195817747,0.16476726623644103,78.8104976418441
2024-01-11,Facebook,Holiday Promo,7988,308,3.85578367551327,170,5,17,935.8225458272443,1621.4298196737946,2.4036054081121683,73.26253004948605
2024-01-11,Facebook,Back to School,10865,221,2.034054302807179,139,12,7,1629.255169416538,2008.6909608329365,1.4542107685227794,23.288911309839857
2024-01-11,Facebook,Black Friday,11568,834,7.2095435684647295,786,142,23,1231.8986680588853,2648.941930740855,8.220954356846473,115.02920649429862
2024-01-11,Facebook,Spring Collection,10310,866,8.3996120271581,590,61,59,1931.8024757996996,1953.6420435492462,6.886517943743938,1.1305279925426022
2024-01-11,Instagram,Summer Sale,9567,508,5.309919514999478,146,1,11,789.4957406794108,1875.0239781377816,1.6515104003344832,137.49640201025093
2024-01-11,Instagram,New Arrivals,4391,109,2.4823502618993394,73,12,7,1664.4847299961093,3455.2260731246274,2.0951947164654974,107.58532721010327
2024-01-11,Instagram,Holiday Promo,16524,54,0.32679738562091504,28,2,1,1069.9775782997826,1508.6810357582526,0.1876059065601549,41.00118230099543
2024-01-11,Instagram,Back to School,15060,1115,7.4037184594953525,98,17,7,931.2997725331265,1875.1070623628343,0.8100929614873837,101.34301732540543
2024-01-11,Instagram,Black Friday,7943,740,9.316379201812918,646,96,22,905.5521170072611,1613.4463493806495,9.618532040790633,78.17266605404139
2024-01-11,Instagram,Spring Collection,3192,274,8.583959899749374,113,7,2,1108.5561556961475,1700.079329587972,3.8220551378446115,53.35978433319527
2024-01-12,Facebook,Summer Sale,18586,603,3.2443774884321535,457,14,28,1016.076071487733,2093.608029768376,2.684816528569891,106.04835489363774
2024-01-12,Facebook,New Arrivals,1922,87,4.526534859521332,66,0,4,534.5538226382082,1103.697926815387,3.6420395421436007,106.47086973735509
2024-01-12,Facebook,Holiday Promo,6373,245,3.844343323395575,95,1,9,1013.2638999051821,2110.5071079458,1.647575710026675,108.28799961621982
2024-01-12,Facebook,Back to School,14429,855,5.925566567329684,168,23,14,1604.7259632701296,1692.760630238613,1.4207498787164736,5.485962649291554
2024-01-12,Facebook,Black Friday,15382,373,2.424912235079964,341,44,1,73.7959910201868,134.1133355633528,2.5094266025224288,81.73525920488859
2024-01-12,Facebook,Spring Collection,11147,843,7.562572889566701,820,26,68,1662.2577142277028,4039.9962802173495,8.199515564725935,143.0427150758847
2024-01-12,Instagram,Summer Sale,12111,599,4.9459169350177525,143,7,6,950.9113171060587,2292.0592155277727,1.2880852117909338,141.03816773400865
2024-01-12,Instagram,New Arrivals,3443,267,7.754864943363346,150,7,13,246.54947588097866,304.54442253783066,4.937554458321231,23.522640415122584
2024-01-12,Instagram,Holiday Promo,1827,149,8.15544608648057,77,4,7,94.89407933589315,180.99377952245527,4.81663929939792,90.73242586800185
2024-01-12,Instagram,Back to School,9795,848,8.657478305257785,387,8,28,253.28158380102852,564.5006648719865,4.318529862174579,122.87473743667192
2024-01-12,Instagram,Black Friday,16114,1480,9.184560009929255,823,100,20,372.764995216215,416.2836291535938,5.852054114434653,11.674549514000535
2024-01-12,Instagram,Spring Collection,4072,368,9.037328094302556,64,2,6,828.055272546754,739.5318464292062,1.768172888015717,-10.690521400254665
2024-01-13,Facebook,Summer Sale,7456,166,2.226394849785408,163,24,10,1849.7724520070456,2944.2646987804455,2.642167381974249,59.16902079419827
2024-01-13,Facebook,New Arrivals,9666,467,4.831367680529692,356,16,23,1176.3823104785172,1272.1076442933168,4.086488723360232,8.137263962755558
2024-01-13,Facebook,Holiday Promo,14472,226,1.5616362631288006,38,6,2,1282.9153614430843,1054.8907243162364,0.31785516860143725,-17.773942379983268
2024-01-13,Facebook,Back to School,6588,98,1.4875531268973892,80,16,3,945.0285266331755,1651.3609231063049,1.5027322404371584,74.74191271130813
2024-01-13,Facebook,Black Friday,10916,610,5.588127519237816,336,0,31,180.79913090743358,375.14604687321923,3.362037376328325,107.4932799678602
2024-01-13,Facebook,Spring Collection,1951,111,5.689390056381343,41,0,4,786.5655975083301,1747.8747517836023,2.3065094823167605,122.21601825969657
2024-01-13,Instagram,Summer Sale,19449,818,4.2058717671859736,599,114,46,1078.9130737823323,1843.4039213695005,3.9025142680857625,70.85750151373198
2024-01-13,Instagram,New Arrivals,6232,163,2.6155327342747112,72,3,0,702.0074820554403,651.7126603725153,1.2034659820282412,-7.164428153338827
2024-01-13,Instagram,Holiday Promo,17002,849,4.993530172920833,787,109,33,847.031633641288,714.1804856352376,5.4640630514057165,-15.684319537741365
2024-01-13,Instagram,Back to School,8643,849,9.82297813259285,187,6,7,102.8371853817928,121.07563532813755,2.3140113386555594,17.73526752860142
2024-01-13,Instagram,Black Friday,15295,492,3.216737495913697,264,7,21,711.5789294975724,1258.1099585231796,1.9091206276560968,76.80539801979504
2024-01-13,Instagram,Spring Collection,8218,658,8.006814310051109,613,110,7,243.91071588072307,295.9594881258118,8.88293988805062,21.339272469907204
2024-01-14,Facebook,Summer Sale,10503,169,1.609064076930401,55,10,3,1891.5989648756831,1966.9586463886865,0.6474340664572027,3.9839142922113004
2024-01-14,Facebook,New Arrivals,16070,872,5.426260112009956,16,1,0,1485.0139957322044,3329.1307528872,0.10578718108276292,124.18177622937021
2024-01-14,Facebook,Holiday Promo,4452,85,1.9092542677448336,38,3,1,1790.709836600101,3921.0350549598425,0.9433962264150944,118.96540549553495
2024-01-14,Facebook,Back to School,5841,435,7.447354904982023,204,22,11,1669.776287802237,2315.690249280982,4.057524396507447,38.682664629816855
2024-01-14,Facebook,Black Friday,2279,186,8.161474330846863,62,11,2,1899.4839485762054,3985.363972239593,3.290917068889864,109.81298500715937
2024-01-14,Facebook,Spring Collection,13880,763,5.497118155619597,167,22,16,995.317815943175,1663.3532519413207,1.4769452449567724,67.11780149992667
2024-01-14,Instagram,Summer Sale,13808,601,4.3525492468134415,246,24,6,475.1450596134687,901.1563593885215,1.998841251448436,89.65920852078601
2024-01-14,Instagram,New Arrivals,19925,53,0.2659974905897114,35,1,0,384.77460740419184,485.94049183647144,0.18067754077791717,26.292245508292726
2024-01-14,Instagram,Holiday Promo,17458,887,5.080765265207927,155,31,4,1639.3561353847913,2699.6167339772246,1.088326268759308,64.67542809687097
2024-01-14,Instagram,Back to School,8184,726,8.870967741935484,162,11,9,323.0361503878755,403.2339011989293,2.2238514173998047,24.826246447884806
2024-01-14,Instagram,Black Friday,16646,695,4.175177219752493,177,33,11,1284.5412235470228,2106.9887104182703,1.3276462813889223,64.02655452350614
2024-01-14,Instagram,Spring Collection,12664,971,7.667403663929248,485,61,45,141.58363521135732,153.29001466933568,4.666771951989893,8.268172688533507
2024-01-15,Facebook,Summer Sale,18770,1778,9.472562599893447,828,35,25,183.08692544047858,407.00851224206514,4.730953649440597,122.30342841951503
2024-01-15,Facebook,New Arrivals,7819,162,2.07187619900243,48,7,2,1901.1482542626431,2802.8703507349987,0.7289934774267809,47.43039341884922
2024-01-15,Facebook,Holiday Promo,3711,295,7.949339800592832,78,7,0,576.3268836647801,989.9755478748839,2.290487739153867,71.77327241439289
2024-01-15,Facebook,Back to School,16826,1317,7.827172233448235,967,108,72,1553.2787973043528,1524.1036087615114,6.816831094734339,-1.8782969672587857
2024-01-15,Facebook,Black Friday,16048,345,2.149800598205384,26,0,0,1424.6048218934584,2588.629903431521,0.16201395812562314,81.70862990558629
2024-01-15,Facebook,Spring Collection,13312,1112,8.353365384615383,140,17,4,54.561811720267606,133.40848347220853,1.2094350961538463,144.5088959952047
2024-01-15,Instagram,Summer Sale,19706,1686,8.555769816299605,1077,186,48,316.79633029197475,765.1909654481176,6.652796102709835,141.54035014953635
2024-01-15,Instagram,New Arrivals,2341,129,5.510465612985904,97,18,7,1295.9513014018105,2709.0059772438317,5.211448099102947,109.03609374160447
2024-01-15,Instagram,Holiday Promo,3421,247,7.220111078631978,209,24,17,1004.3786791041239,1181.2056231495246,7.307804735457468,17.605605109332384
2024-01-15,Instagram,Back to School,14849,96,0.6465081823691831,41,6,0,402.12192299830036,709.9490264534522,0.3165196309515792,76.55068919394702
2024-01-15,Instagram,Black Friday,17774,384,2.160459097558231,126,6,8,425.5681041819793,423.8570804339884,0.7876673793181052,-0.4020563879616429
2024-01-15,Instagram,Spring Collection,10018,776,7.746057097224996,486,81,30,1730.983169429161,3870.017886390066,5.959273308045518,123.57339775096196
2024-01-16,Facebook,Summer Sale,5497,492,8.950336547207566,112,16,7,498.51723271102094,500.99172560108394,2.4558850281971982,0.49637058213741053
2024-01-16,Facebook,New Arrivals,14409,180,1.2492192379762648,46,7,1,1463.2952044810847,1333.2167177098584,0.3747657713928795,-8.889422064179794
2024-01-16,Facebook,Holiday Promo,7640,565,7.395287958115183,358,24,12,1270.4881840521678,2929.951790036012,5.157068062827226,130.61621720015185
2024-01-16,Facebook,Back to School,14737,1181,8.01384270882812,903,54,41,1981.1655610164653,1585.7324238115748,6.772070299246794,-19.959620992099612
2024-01-16,Facebook,Black Friday,10996,863,7.848308475809384,38,5,0,833.7652815380222,1347.1883990624845,0.39105129137868316,61.578855451664495
2024-01-16,Facebook,Spring Collection,13984,321,2.2954805491990844,245,46,24,1548.1331570358104,2337.996158177039,2.2525743707093824,51.02035296844676
2024-01-16,Instagram,Summer Sale,4430,389,8.781038374717832,74,13,0,265.4245206062196,372.3528240048244,1.963882618510158,40.285766798932
2024-01-16,Instagram,New Arrivals,3033,117,3.857566765578635,27,5,0,132.08171979090565,109.67876989905801,1.0550609957138146,-16.96143109531965
2024-01-16,Instagram,Holiday Promo,15286,634,4.147586026429413,408,48,23,292.65323672886984,709.9494436165074,3.133586288106764,142.59066858510226
2024-01-16,Instagram,Back to School,2828,110,3.889674681753889,52,5,5,1221.556970562286,2853.961106113991,2.1923620933521923,133.63307441979595
2024-01-16,Instagram,Black Friday,15561,1226,7.878671036565773,573,3,7,1888.326959563495,3596.1285461708285,3.74654585180901,90.43993032870263
2024-01-16,Instagram,Spring Collection,10076,292,2.8979753870583562,116,1,8,479.9481076868419,536.0756610476227,1.240571655418817,11.69450456452327
2024-01-17,Facebook,Summer Sale,15199,103,0.6776761629054543,56,6,0,1060.6077150189649,1925.3911036558786,0.40792157378774924,81.53659231315797
